grantee,diversity_means,diversity_importance,acted,support_hiring,support_programming,other_advice
Greater Yellowstone Coalition,"Diversity, equity, and inclusion can mean different things in the context of Western Conservation. To some stakeholders in our work, these words have a negative connotation associated with a more left-leaning agenda and therefore can impede our ability to develop the collaborations we need to get our work done. To others, these are positive values that allow us to bring diverse voices to the table in search of conservation solutions.","Diversity, equity, and inclusion are increasingly more important values to consider in the context of Western Conservation, as the challenges we currently face affect us all. Growth, climate change, and other factors must be addressed, and we must include a variety of diverse voices in the conversation if we are going to successfully come up with solutions.","GYC strives to recruit and advertise for positions in a wide variety of publications and outlets. Due to the relatively small population in our geographic area, however, we do not get much diversity in the pool of interested applicants. The states we operate in are also not particularly ethnically or racially diverse, though we do strive to encourage and include diversity of thought, opinion, and experience. GYC’s leadership is committed to building and maintaining an organization that is diverse and inclusive. In our recently revised employee handbook, we identified one of our core values as “embracing diversity and inclusion” and we are striving to make that value show up in all aspects of the organization. GYC’s leadership team is reflective of the overall gender ratio of the board and staff, with two women and one man. Through our hiring processes and board governance, we are cognizant of the value diverse backgrounds, education, interests, ethnicity, and age bring to the organization. We also emphasize a policy of no tolerance regarding discrimination and have included the following statement in our new handbook: “GYC will not discriminate in regard to hiring, promotion, discharge, pay, fringe benefits, job training, classification, referral, and other aspects of employment based on race, color, religion, sex (including pregnancy), national origin, disability, age, genetics, application or participation (past or present) in uniformed services, marital status, ancestry, sexual orientation/gender identity, or other characteristics.”","If the Foundation has resources available to share or train GYC on how better to integrate these values into our culture, we would be very interested in hearing about them. If there are best practices that we are not aware of, we would very much like to have access to that information.","We would be interested in hearing examples and learning from case studies that have successfully integrated these values into programming and partnerships, beyond what we already engage in at GYC.","We would encourage the Foundation to consider the fact that the values of diversity, equity, and inclusion have different connotations in the different geographic areas you serve. In rural communities, these values can mean very different things than in more urban areas. This has the potential to create challenges, but could also pose opportunities as you explore new ways to promote conservation values throughout the West."
Headwaters Economics,"Diversity is about ways people differ, including political differences and values, as well as race, ethnicity and country of origin; equity is about fair treatment; and inclusion is about creating an environment that encourages participation by all.","In our work we think first about the key decision-makers who can impact conservation. We identify key audiences and political actors up front and craft a strategy that asks whether we are communicating in the right way and with the right messengers. We acknowledge up front that the people we aim to influence are from a wide spectrum of political, racial, and ethnic backgrounds and that they sometimes hold values that may differ from ours. We recruit the right messengers -- ranchers, county commissioners, for example -- and we provide our research findings in a variety of formats depending on the audience.","Headwaters Economics strives to have the same diversity and in our approach to how we work. Staff of Headwaters Economics is relatively diverse compared to Montana where we are located (we are 80% White, 10% Asian and 20% identify as Latino, while Montana is 90% White, less than one percent is Asian, and three percent Latino). We are proud of our achievements in creating leadership positions for women, and for creating a workplace that acknowledges the importance of family through flexible work schedules (60% of staff are female). We have a culture that values and encourages differences of opinion, with lively and respectful debate, and we are skilled at listening and appreciating the perspectives of our varied constituents.","It is difficult to convince people from diverse ethnic and racial backgrounds to apply for a job in a community where almost everyone is white and it would be useful to understand how to overcome this barrier.  The Foundation can also help organizations recruit staff with diverse values and political outlooks and different life experiences because conservation cannot continue to rely mostly on aging white baby boomers and the Patagonia crowd. The conservation movement and the Foundation has made significant advances, for example, is bringing hunters and anglers -- including those from conservative rural backgrounds -- into being outspoken and effective conservation advocates.  Can we do the same with conservative business owners and can we change the face of conservation so it looks more like rural communities?","It is important to be attentive to the values and perspectives of our varied constituents. Even though our staff is relatively diverse when compared to Montana and the West as a whole, what matters often is not race or ethnicity, but whether we are careful that we do not approach our work from solely from the perspective of the liberal and college educated. We constantly scan our work and ask ""did we phrase this in a way that would be offensive?"" or ""are we using terms that will set off alarms?"" The key is to spend a considerable amount of time out of the office, working with communities and elected officials, listening carefully, and learning how to be multi-lingual, using the right language for the right audience.  The Foundation can help by training conservation groups -- the liberal and college educated -- how to work better with rural communities.","Improving the diversity, equity and inclusion of non-profits is an important goal, but it is difficult to achieve if this is interpreted narrowly as skin color (I say this as someone who is White but self-identifies in large part as Latino because of my upbringing, and as an immigrant to the U.S.).  Diversity is not just about race and ethnicity. It is also about differences in opinion and life experiences.  To be effective in the West, especially in the rural West, it is imperative that we are able to listen deeply, empathize, and understand the needs of rural people, who are often White, with less formal education, who have a deep passion for their communities and the landscapes of the American West, but who feel left behind and ignored."
Hispanic Access Foundation,"In the context of Western Conservation, diversity, equity, and inclusion means that ALL stakeholders must have equitable opportunities and responsibilities in the work ahead.   White people have been the main champions of Western Conservation. Our national parks tell their stories the most. Yet, we know there is great diversity in America's historic, cultural, and spiritual connections to land and water resources. I compare it to the history text books in public schools. It's not a balanced narrative.   America's population has seen a dramatic change over time. Yet, the Western Conservation movement has made limited progress creating equitable space for different communities to enter into this work, authentically, meaningfully, and for the long term.  -All stakeholders must feel a sense of ownership for Western Conservation work to be relevant to them.   -For all people to understand issues of diversity, equity, and inclusion, we all need hands on experience and we can acquire this through long term collaboration and learning.","People from different backgrounds hold unique traditions, beliefs, and values including spiritual and cultural. DEI values are important because once understood and adopted, these values force us to think outside of our own interests and to incorporate the needs of others as we consider our behavior, attitudes, communications, planning, and decision making.  The integration of DEI values can be transformational for Western Conservation. It will lead to opening the door for a broader engagement, western conservation policies that reflect the best interests of diverse populations, and eventually change the internal makeup of conservation organizations to be more inclusive and diverse so that they reflect our nation.   As we all know, Western Conservation needs to be relevant to new generations and new communities in the future. Focusing on policy victories without making people a priority has worked in the past but it is not likely to work in the future.","Early in our organization’s founding, we hired the Culture Company to help us to establish the culture of our organizations. We brought together our team and a representative group of 50 people from our local teams and communities to help us through this process. It stuck. Our team is consistent and our key stakeholders know what to expect and how to work with us.   Members of our teams have received DEI training. For example, our youth programs directors conduct DEI webinar training's for our internship and fellowship participants; this developed out of a concern for fellows and interns as they enter job assignments in non-diverse environments (ie. a national park).   Members of our teams regularly speak at conferences and on panels on DEI and share our experiences both from the diverse community perspective and from our own programming.  Our national team is small but we have learned about the importance of internal and external practices of emotional intelligence.   The coalitions we work with include extremely diverse segments of Latino populations. For this work, we hire local community organizers that represent Afro-Latinos in the Northeast part of the U.S., Mexican-Americans in the Southwest, and Cuban and Central Americans in the Southeast. Gender, religion, identity, and age also play an important role in the people we serve.","-The Foundation could set the tone for others, for example, setting a goal of considering a very diverse set of candidates for a target amount of leadership positions and board seats with the idea of hiring the most qualified people.  -The Foundation could hire a new staff recruitment firm or consultant that has a track record for recruiting qualified, diverse candidates, and has incorporated DEI values in their business.   -The Foundation could invest in workforce development to create a pipeline for develops and integrates diverse talent into the conservation community. We believe this is a major gap that needs to be bridged.  -The idea is that if the Foundation experiences internal diversity, its grant making and partnerships should also reflect diversity in the future.",-The Foundation could provide funding to organizations to support paid internships and fellowships for qualified young professionals representing diverse backgrounds creating a pipeline of employees.  -The Foundation could strategically pair non-competing grantees and foster a trusted partnership based on mutually beneficial scope of work and promotes important DEI values learning experiences for both.    -The Foundation can best support other organizations by hosting an annual funders roundtable with organizations they do not yet fund that represent diverse constituencies to create a dialog and foster equitable access.  -The Foundation can consider elevating its funding commitments to its successful and most promising grantees who serve communities of color and ensures they to play a stronger leadership role in Western Conservation.,-The Foundation could develop a bi-annual 2 day event (round table). One day with grantee organizations and one day on non grantee organizations (primarily those who serve unique constituencies) to gather information and improve its DEI strategy organization-wide.
Idaho Conservation League,"While western conservation, in many respects, is about protecting values, for instance, water, land, and wildlife, virtually all strategies involve working effectively with people, be they constituent or stakeholder voices, policymakers, agencies, etc. When it comes to western conservation, diversity, equity and inclusion mean creating constituencies that reflect the true nature of a region. Many western values are based on federal public lands, and while a region may be overwhelmingly white, it’s often changing more than many realize, and federal public lands are owned by all Americans. If conservation is to endure conservation support needs to reflect the existing and changing face of the nation and its future. Also, in our region, there is lots of outreach to conservative, rural audiences.","While linked to the last question, this one leads me to leadership. NGO’s advancing conservation policies play in a bigger political pool than just conservation and they need to reflect values of what is just as well as what’s needed to just win. We are role models more than we realize. The best work in the West is work based on genuine relationships and DEI work, to be genuine, must be based on real empowerment and engagement. Using constituencies in a campaign, be they subsets of a demographic like veterans, or a broader category like Native Americans, must be built into enduring capacity building strategies for organizations and power building if they are to be genuine. Anything else cheapens or even harms the work over the long haul.","To be honest not a lot in an explicit way, for instance, in targeted recruitment. Idaho is a very white culture and we’re reflective of that. We are majority female (slightly) and multi-generationally staffed.","Good training is always a quality investment and in our case in particular, I’d be interested in a deeper understanding if we are in any way transmitting bias in our practices. I’m certain we’re not intending to, but our overwhelmingly white environment may have led to patterns we’re not sensitive to. Above I mentioned doing what is just rather than what just wins. We need to be at the top of our game here to do what is just and need to recognize we may not fully understand the factors in play.","Here we need to do what is just AND what wins. Idaho is white, and we do quality work with tribes, particularly the Nez Perce, but not a great deal more. Idaho has a growing Hispanic sector, and while generally this demographic is quite conservative, they are likely over-represented in impacts from toxics, particularly in agriculture. In our Boulder-White Clouds campaign we had some support to do Hispanic outreach and while it was very campaign specific, it could and should have been expanded on.","Please share successes. NGOs work in a bubble, particularly those of us in the interior West. In sharing successes and best practices, please seek examples from within the interior, conservative West. We have successes within the white conservative realm, but not a lot more."
Keystone Center,,,Made a diversity a priority for hiring and is a priority for the board nominating nominations committee. Have equity and inclusion as part of our employment policies.,Would love a funding source to recruit diverse students as fellows and introduce them to the field.,By continuing to prioritize funding towards those projects that include these values.,Offering strategies to grantees on how to incorporate these values into their work or projects would be hugely helpful - I think people are well intended in doing so but lacking skills or experience as to how exactly to incorporate these ideas into their work or thinking.
League of Conservation Voters Education Fund,"Ensuring participation in our democracy is a right and a possibility for communities of color, who are often the first and worst impacted by climate change and environmental degradation yet are among the strongest proponents of climate action and are the targets of voter suppression. Ensuring our efforts to protect and advocate for the environment are rooted in a deep understanding of racial and environmental justice. Ensuring that who we are, who we work with and how we engage reflects our nation as a whole and our organization's racial justice, equity  and exclusivity priorities and values.",,"Our hiring process is consistent and fair. We have high standards for ensuring a clear process is used consistently so that we are fair to every candidate. There are no side doors for bringing in people. We adhere to a hiring protocol. We recognize that one of the dynamics of inclusion is seeing that all people can succeed in our workplace. We know representation matters and that social justice isn't something we simply talk about, it's something we work toward. It's something we do. Our values must show up in who has opportunities and who is represented on the our teams, at every level. We consider our current team composition when we set strategic goals for recruiting candidates who bring the diversity we most need to the organization. Our work to create a staff team that reflects the country we serve is grounded in our values and our understanding that authentic representation and inclusion is necessary to achieve our mission. While these values have been present in our practices and culture, we have also engaged in a focused and intentional initiative over the last 18 months to increase the racial diversity of our staff. When we began these efforts, our staff was 21% people of color. By July of 2017, our staff increased to 33% people of color.","The Human Resources component to an organization's success in diversity, equity and inclusion is critical. Organizations need financial support and assistance to train their HR staff and organizational leadership on how to implement fair and equitable recruitment practices, and how to have the hard conversations about race, racism and privilege. Organizations can also benefit from financial support to not only diversify their staff but to also become welcoming and inclusive organizations to a rich mix of staff from different backgrounds and experiences.",Financial support to organizations whose programmatic work engages communities of color and support to organizations that translate their values into programmatic action.,"Provide long term, multi-year grants. Provide opportunities for grantees to convene and share experiences and stories of successes."
Montana Wilderness Association,"Diversity, Equity, and Inclusion should be as important in the context of Western Conservation as it is in the context of other social movements, institutions, or businesses. Diversity is the range of different people involved in the work, equity is the condition of equal influence over the work as well as equal access to the outcomes of the work, and inclusion is the practice of promoting equity among diverse people within the movement, institution, or business.","Diversity, Equity, and Inclusion are important in the context of Western Conservation because they represent the who, what, and how of a just society. Broadly speaking, if community organizations, institutions and businesses do not actively include diverse people in an equitable system then these systems will produce unequal living standards. These facts apply to Western Conservation as much as any other social movement, institution, or business.    Importantly, the primary purpose of Western Conservation is to protect public lands, which are owned by all U.S citizens and enjoyed by citizens and non-citizens alike. The political strength of our movement and its ultimate effectiveness depends on whether this movement includes the diverse persons who own or use public lands and offers them equal influence over the work and access to its outcomes.","In early 2015, MWA staff redoubled our efforts to invite the influence of American Indians and American Indian tribes in our work. Our Badger-Two Medicine coalition, trail stewardship work, and Hold Our Ground coalition (National Monument Defense) are excellent examples of these efforts.    In fall 2016, MWA signed onto the “Open to All” initiative to support LGBTQ community members and employees. In spring 2017, we endorsed a state bill to add ""sexual orientation, gender identity, and gender expression"" to the Montana Human Rights Act, and we also opposed a bill that attempted to prevent transgender people from using locker rooms or bathrooms that align with their identity.    In December 2017, we began using the Avarna Group’s recommendations for hiring practices. This includes removing gender specific terms from job announcements and publishing salary ranges.","The Hewlett Foundation could support DEI integration to MWA hiring practices and workplace culture by providing additional funding for an external consultant (i.e., Avarna Group) to assist MWA’s leadership team and staff in the development of a DEI statement and assist with revision of MWA’s policy handbook to ensure policies support DEI principles and practices.","The Hewlett Foundation could support DEI integration to MWA programs and partnerships by providing additional funding to support the expansion of our public land stewardship work with American Indian tribes. Currently, we are in the fifth year of a burgeoning partnership with the Blackfeet Tribe, and we would like to expand this partnership in 2019 and 2020 to include the Confederated Salish and Kootenai Tribes and the Crow Nation.    MWA is also interested in building a conservation leaders pipeline for women in Montana. We’ve discussed this idea with the High Stakes Foundation, and they are willing to assist. We would welcome seed funding from the Hewlett Foundation to fully explore this idea.","We are grateful for the invitation to complete this survey and grateful for the encouragement to engage in the internal reflection and dialogue required to complete the survey.     Looking ahead, we encourage the Foundation to work with grantees to fund their DEI work and hold them accountable to best practices. You’re all probably way ahead of us on this point, but additional funding and accountability would be very welcome."
National Audubon Society,"Diversity is a beneficial side effect of a culture of inclusion, and diversity is a strategy towards equity in conservation. Data shows that non-white communities are more reliable conservation voters than white communities, and yet the legacy conservation movement in the west – even in diverse California – remains overwhelmingly white. This is not as true, however, of smaller conservation organizations with an articulated focus on environmental justice issues. For a legacy conservation organization such as Audubon, inclusion means integrating equity, diversity and inclusion across our functions and our network of chapters, centers and states, supporting our chapters to broaden their membership, engaging organizations that share a conservation goal, and building effective coalitions and partnerships.","In addition to issues of justice, the values of diversity, equity, and inclusion are important to Audubon pragmatically. California, Nevada, and New Mexico are so-called “Majority-Minority” states, with others soon to follow. If legacy conservation organizations are to continue their missions in the west, these values must guide all of our work. Without these values guiding our work, our constituency will continue to shrink and age out as will our power to accomplish conservation for birds, wildlife and people.","Audubon incorporates equity, diversity and inclusion into numerous aspects of our culture and hiring practices, augmented by close coordination on goals and metrics between the organization’s Vice President for Equity, Diversity and Inclusion and Vice President for Human Resources.  We require all hiring managers to provide a diverse slate of applicants for all open exempt (professional) positions and to report slating and hiring results to the CEO and Executive Team; and for summer and entry level positions, we target a 50% hire rate.   Audubon’s biannual Equity, Diversity and Inclusion Summit at Hog Island in Maine assembles advocates from across our network and across the country for experiential group training, workshops and activities, after which they return to their locations to implement community based projects.  Our first employee survey sampled staff opinion on equity, diversity and inclusion and we just launched our first Employee Resource Group, in this instance, supporting women.  Audubon’s communication and content teams effectively incorporate a wide array of ages, races and ethnicities in printed and digital material.","Audubon would benefit from support in two ways, financially and intellectually. For example, when the foundation makes grants within a portfolio, sometimes there are opportunities for additional capacity building support to augment the programmatic grant—perhaps there could be similar opportunities specific to diversity, equity and inclusion efforts?  We would also benefit from a process of coordinated frank internal and external conversations implemented by Audubon about these topics that would enable us to identify issues and best practices, seek expert guidance and, if/when feasible, explore whether there are connections that the foundation can help us make—for instance, Audubon is in a growth phase and hiring a lot of new staff for various programs.  Are there connections to other organizations and networks that the Foundation can offer, which could serve as a new potential source pipeline for diverse job candidates?","The Foundation’s support for building conservation networks is essential. In Southern California, in particular, environmental justice and legacy conservation organizations largely are separated by race and/or ethnicity, culture, and language. In service of mutual benefit or to accomplish a shared goal, the Foundation can incentivize larger organizations to build the grassroots capacity of smaller organizations and provide services such as meeting space, communications support, and conservation planning expertise. Since much of the Foundation’s grant-making is accomplished through intermediaries, another idea to consider is deployment of legacy organizations such as Audubon as a pass-through funder to equip smaller environmental organizations for specific projects, which would help to foster collaboration and partnerships among various organizations. Coupling these with unrestricted grants to smaller conservation organizations could be transformative, supporting their growth toward effective conservation action. Finally, support for board-building for these organizations is needed, including financial, convening, and strategy supports.","Consistently, we are advised to focus on partnerships with grasstops, and on building authentic and reciprocal relationships with grassroots leaders.  We also hear about the importance of grassroots engagement in specific geographies. For the Foundation, translating that advice might mean connecting with other foundations as well as convening grantees, deep listening and learning more about their work, understanding their successes and obstacles, then formulating strategies based on meeting their needs. Another approach would involve leading with the specific conservation goal, and investing in relationship building, and building a coalition based on achieving that goal. Further, along with conservation in rural areas, remember to prioritize conservation in our cities and suburbs, and generous funding – more than the Foundation might first think is necessary, including unrestricted funding resources for urban projects.  Finally for nonprofits, remember that, ultimately, money talks; consider incentivizing new partnerships between organizations with significant dollars and creating a dedicated funding stream to support new grantees, especially smaller ones that tackle these issues."
National Wildlife Federation,,,"The National Wildlife Federation has five core values, one of which is “inclusivity” in fostering a climate that is open and welcoming to diverse people, ideas, and perspectives.  The National Wildlife Federation changed our mission statement in June 2016 to “Uniting all Americans to ensure wildlife thrive in a rapidly changing world”.  This was a leap forward in building the National Wildlife Federation's brand to new heights in terms of awareness, reputation, support and impact.  As a matter of standard operating procedure, vacant positions are filled when there is enough recruitment to locate and interview qualified diverse candidates.  A candidate pipeline has been created to assist in filling positions with candidates from our own emerging leaders and EcoLeaders programs as well as connections that we have established.",,"One of the most important things to do is to revisit and redefine ‘the conservation community’.  It can no longer be just the same set of organizations and demographics that it has traditionally been.  If we are going to make the protection of public lands and natural resources the ‘third rail’ that politicians won’t touch, we need to start connecting conservation to issues that matter more to people, build relationships with constituencies that we’ve previously ignored or tokenized, meet people where they are and invest in transformational rather than transactional work.  Hewlett can help by looking beyond the traditional boxes and investing in this transformational and relational work.  The traditional metrics of ‘acres protected’ should be revisited and compared to metrics that indicate the level of interest and engagement from broader constituencies that will become more important over time.  Success with broader constituencies, when combined with traditional public lands advocates such as sportsmen/women, could create a tapestry of public land advocates that is impenetrable.  Long-term public lands success will only be achievable if we invest in connecting with communities where they are, and doubling down on the connection of conservation to economy, health and community.  The West is being redefined due to demographics and urbanization, and the conservation community must change with it.",
Native American Rights Fund,It means that Native Americans should be included,All people in the west are important,We look to hire those who have experience with Native Americans if possible,Keep emphasizing its importance,same,include Native Americans
Natural Resources Defense Council,Making conservation more relevant to more diverse sets of people and therefore more people; Empowering marginalized groups to have a greater say in government decisions that affect them;  Giving more resources to marginalized groups.,"Increasing diversity and inclusion is necessary to succeed in increasing Western conservation in the next decade and beyond;  Increasing equity is necessary to increase diversity and inclusion in Western conservation efforts;  Access to nature is a basic human right.  Such access is not now available to all.  As population continues to grow, more than the very rich deserve access to the beauty and healing nature provides.","Training – including on cultural competency;  interview skills; impact of coded language.  Developing and sharing channels for distribution of job opportunities to diverse audiences.  Work with consultants to develop an equity screen for use in shaping our program work.  Office committees to address policies and practices as well as sponsor lectures, events and conversations around equity and inclusion.  Hosting coffees and conversations with groups and people with whom we have not worked previously.","Convening workshops for sharing best practices, success stories and challenges.  NRDC worked with and funded Youth Outside to host such a workshop in our DC office in December 2017.  The following contributed to its success:  personal commitment by leaders at 3 national NGOs;  focused agenda and thorough preparation by NGO leaders and Youth Outside facilitators;  development of meaningful relationship between NGO leaders and Youth Outside facilitators;  using the workshop to build on existing meaningful relationships and create new ones.  Happy to discuss further.","Building movement infrastructure.  Identifying and funding mechanisms to create and sustain meaningful relationships and connections between leaders at the national and local level.  When I say local leaders, I mean diverse community leaders and not simply leaders of traditional local environmental groups. Good connections exist among national leaders and also among local leaders.  What is lacking is meaningful and sustained connections between these two different groups.   This is where I would invest.  Would welcome the chance to explore with you further.","Share what you have learned and where you have found the largest challenges.  This could be part of the substance of the type of convening proposed above in response to #20.  To be meaningful, I would suggest sharing with a small trusted group (12-15 people) over 1 ½ days, rather than simply sharing something in writing.  You would bring something to the table and so would the other participants.  With a focused agenda, each participant would learn something as well as contribute something.  I would include 3-4 local leaders, as well as carefully selected national NGO leaders."
Nature Conservancy,"We approach DEI from a paradigm that suggests differences are opportunities to reach desired results. Rather than seeing the wide range of differences in views about nature and people that characterize the West as a problem, we see this as an opportunity to develop more comprehensive solutions. In particular, we actively partner with Native Americans/First Nations consistent with our land and water based Indigenous Peoples and Local Communities strategy, our fisheries and forest strategies, and our fire strategy. We also have a long history of engaging with ranchers, hunters and fishers, farmers and landowners, youth, women, and all levels of government; more recently we have engaged in urban conservation efforts, particularly with economically challenged urban communities, many of whom are people of color. This broad range of constituencies enables us to listen and learn how best to tailor and apply our science driven solutions in the Western US context.","Critical stakeholders in the Western US include people holding a wide diversity of paradigms about the relationships between people and nature. TNC takes a pragmatic, non-partisan approach to engaging everyone, attempting to offer science-based practical approaches that need not be caught up in current political polarization. The ability to engage and convene together a wide range of stakeholders who might not be talking with one other otherwise is one of TNC’s core approaches to DEI globally, including in the West. The presence of significant Native American tribes and First Nations offer a critical opportunity to support the capacity of the historic stewards of large portions of the West to manage those resources sustainably, and the presence of large federal and state public lands offer the opportunity to knit private-public partnerships together to protect large landscapes and watersheds. These diversity dynamics are critical in the Western context.",,,,
New Venture Fund,"Diversity in a Western Conservation context means representing a wide range of voices on conservation issues: environmentalist, indigenous, hunter/angler, recreationalist/outdoorsperson, agriculturalist, urban planner, industry/business—identities which all represent an interest in conservation from different angles (but are not exclusive, with multiple identities often being held by the same individual).  Equity means recognizing and adjusting to the different challenges, needs, and circumstances of diverse voices so that the voices are weighed to the same standard despite any historical and present-day advantages or disadvantages relative to one another. Equity requires intentionally pursuing outcomes to alter the systems that currently cause people of color and low-income people to bear the brunt of environmental degradation while also being excluded from leadership in the environmental movement.  Inclusion means lifting up the voices that have been/are ignored, maligned, or disenfranchised so that they hold the same weight in conversations about how to define and achieve conservation success as the voices that have historically been accepted and respected.","The West encompasses a diversity of voices that represent an array of interests in how to live in harmony with others and with nature. Equity and inclusion are important because in many cases, those who are most affected by decisions about their communities are those who have the least say in those decisions. We must ensure that we recognize and lift up voices that have been historically (and are presently) disadvantaged so that approaches to solving conservation challenges take into account the full range of perspectives and needs of those they will affect.","A diverse workforce and an inclusive work environment are top organizational priorities for the New Venture Fund. Over the past few years, we have made additions to our board that have significantly increased its racial and gender diversity: of its seven members, two are women and two are people of color. This will remain a priority as we add board members as the organization grows.   NVF also employs over 387 staff, 70% of whom are women and 25% of whom identify as non-white. As a fiscal sponsor, we give our projects latitude in hiring staff: while we have an explicit and well- promulgated equal opportunity policy, the projects control the application of this policy in their hiring processes. At the same time, we are always looking for ways to communicate to our projects—many of whom live in and serve underrepresented and minority communities—the importance of diversity and inclusion at the staff level. NVF is managed by staff from Arabella Advisors, a philanthropic consulting firm that has invested heavily in diversity, equity, and inclusion (several of its efforts were recently chronicled in the Stanford Social Innovation Review). NVF draws on Arabella’s expertise in various ways.  Arabella recently led a session for all NVF staff on how to make a workplace more diverse, equitable, and inclusive through strong recruiting practices, and we have more trainings on these issues planned. As our organization grows and the social sector evolves, we will continue to work to ensure that our staff and board represent the diverse populations we serve.","a.	Start with measuring: asking grantees to report metrics. (Here we go!)  b.	Incentivize it: If the Foundation seeks to work with grantees that demonstrate a more diverse employee base, and attention to equity and inclusion in their programming, then the Foundation has the power to communicate that continued funding is tied to showing continued progress on demonstrating these values.   c.	Use the Foundation’s resources and network to bring people together: Support and/or build networks whereby your grantees can access a diverse hiring pool.  ",Express that this is valuable to the Foundation by putting money toward grantees who are doing this work. Show willingness to allocate more resources when grantees demonstrate commitment and need specifically for forwarding these values.,"a.	Ask your grantees, the experts, why things are the way they are. Seek to understand from their perspective why there is a deficit in the field of demonstrating these values.  b.	Ask what the impediments to demonstrating these values have been. Chart a course with their feedback on how to overcome those impediments.  "
Open Space Institute,"To OSI, putting diversity, equity and inclusion into practice means seeking out and listening to underrepresented voices in the communities in which we work. It is an effort to ensure OSI’s work is applicable to all segments of the population.","Our goal is to ensure that protected lands serve all people. Yet we recognize that the conservation field has fallen short in reaching diverse communities. We understand that recruiting a diverse workplace and engaging diverse stakeholders are the best path forward. Diverse workplaces—places that recognize, respect and welcome unique perspectives—are crucial to a successful organization. It is also the right thing to do, and with different voices, we can more effectively reach different constituencies.","In an effort to be much more proactive about DEI both within OSI and the conservation field, in 2016 we launched a program specifically designed to encourage the next generation of leaders to consider conservation career paths. OSI’s Conservation Diversity Fellowship, now in its third year, is a one-year employment opportunity which provides diverse candidates with a broad-based introduction to the conservation field, with rotations through every department. This success inspired us to deepen our efforts. Last year, we sought outside help in form of a DEI consultant that we contracted to conduct staff training, board training, an organization-wide assessment and a report with recommendations based on that assessment. From the report and recommendations, we will adopt DEI policies to address our specific needs.","Funding Green 2.0 and asking grantees to complete surveys like this are an encouraging invitation to examine hiring practices and workplace culture through the lens of DEI. The Green 2.0 reports provided vital educational resources to our staff at the beginning stages of our work. At the same time, at hegemonic organizations, it is impossible to undertake meaningful cultural shifts without outside help. Matching grants to support hiring DEI consultants for organizations willing to adopt DEI policies and practices would expedite progress.","As mentioned above, Hewlett is leading the way in various activities.  What OSI is lacking is data on usership in many of the areas in which we work, including who goes to parks and why.  If we are able to become better educated in this regard, our priorities and decision-making will be better informed to attract larger swaths of different populations.  OSI can be more intentional in its programmatic choices and its partnerships.  As a thought-leader, the Foundation can promote this agenda through education and fostering information-exchange. We would eagerly take advantage of opportunities to meet new people and form unconventional partnerships.",Your leadership serves as inspiration to us all. Continue to support addressing DEI in conservation and invest in and hire from diversity pipelines. Meeting new people and building meaningful relationships is incredibly effective.
Partners for conservation,"There is a broad spectrum of people and interests that have a stake and an interest in the conservation of natural resources in the west.  There is diversity in the traditional sense of sex, race, gender, religion and ethnicity, but also a broad diversity of perspectives and values placed on natural resource conservation in the west often times based on where people live and how they interact with natural resources.","Many times the focus of conservation efforts are on those that value natural resources from an altruistic, spiritual or recreational perspective, while placing less emphasis or ignoring individuals, organizations and communities that value functional ecological systems for the services they provide to the human community.  Leaving those folks out or casting them in an adversarial role limits the ability of conservation efforts to endure over time",,,,
